               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036587,            0.025664,                   0,             0.95373,              0.9547,             0.98376,             0.64814,            0.027449,            0.011473,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.036742,            0.024674,                   0,             0.96999,             0.94733,             0.98316,             0.64125,            0.027307,            0.011647,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.035694,            0.027813,                   0,             0.97044,             0.95403,               0.985,             0.66204,             0.02636,            0.011549,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.035679,            0.024895,                   0,             0.98278,             0.93538,               0.986,             0.64004,            0.027429,             0.01154,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.035506,            0.025562,                   0,             0.97107,             0.94337,             0.98729,             0.64737,            0.027155,            0.011563,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.035485,            0.026507,                   0,             0.96584,             0.95403,             0.98668,              0.6329,            0.028398,            0.011779,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.036161,            0.026675,                   0,             0.97536,             0.95336,             0.98838,             0.65624,            0.026568,            0.011426,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.033331,            0.025559,                   0,             0.96664,             0.94071,             0.98382,             0.66051,            0.025981,            0.011827,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.033543,            0.026459,                   0,             0.97035,             0.94604,             0.98284,             0.66194,             0.02666,            0.011326,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.035153,            0.027126,                   0,             0.97472,             0.95028,             0.98356,             0.62277,            0.028691,              0.0115,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,             0.03409,            0.023154,                   0,             0.97866,             0.95137,             0.98424,             0.67707,            0.025216,            0.010939,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.033286,             0.02417,                   0,             0.97141,             0.95869,             0.98712,             0.68421,            0.024699,            0.010678,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.033335,             0.02549,                   0,             0.98315,             0.95536,             0.98868,             0.67966,            0.025463,            0.010786,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.035865,            0.025189,                   0,             0.97828,             0.96009,             0.98672,             0.68264,            0.024869,            0.010875,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.032807,            0.024742,                   0,             0.96943,             0.95075,             0.98573,              0.6595,            0.026655,             0.01107,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.031947,            0.022988,                   0,             0.97346,             0.95308,             0.98466,             0.68385,            0.024921,            0.010918,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.033171,            0.024756,                   0,             0.96846,             0.95603,              0.9891,             0.66486,            0.026613,            0.010784,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.035473,            0.024652,                   0,             0.97173,             0.96192,             0.98988,             0.67188,            0.025465,            0.010915,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.033172,            0.025106,                   0,              0.9802,             0.95936,             0.98947,             0.69706,            0.023733,            0.010331,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.032467,            0.024783,                   0,             0.98147,             0.95275,             0.98768,             0.70959,            0.023385,            0.010388,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.031249,            0.023037,                   0,              0.9776,              0.9595,             0.98894,             0.70414,            0.024215,             0.01055,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.033952,            0.025798,                   0,             0.97597,             0.96069,             0.98995,             0.70464,            0.024439,            0.010656,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,             0.03216,            0.025728,                   0,             0.98694,             0.95639,             0.99052,             0.72302,            0.023498,            0.010193,                   0,           0.0076636,           0.0076636,           0.0076636
